data,lançamento,valor
2025-10-04,MD FRIOS E L-CT INIO,67.33
2025-10-04,SUPERMERCADO-CT MA,21.25
2025-10-04,ValeMinimercados,34.98
2025-10-03,HNA*OBOTICAR-CT,25.9
2025-10-03,GOLDEN TOWER-CT RESS A,4
2025-10-03,AUTO POSTO L-CT HO CAC,220.31
2025-10-02,MUNDO ANIMAL-CT,150
2025-10-02,BacioDiLatte-lj0076,23.95
2025-10-02,COMPANHIA DO CHURRASCO,29.88
2025-10-02,BISCOITE CENTERNORTE,18.9
2025-10-01,COMPANHIA DO CHURRASCO,28.88
2025-10-01,BacioDiLatte-lj0076,23.95
2025-09-30,RAIA 5123,301.76
2025-09-30,COMPANHIA DO CHURRASCO,35.27
2025-09-30,ConectC*RAFAELSELM,100
2025-09-30,LINDT  SPRUNGLI BRAZIL,94.98
2025-09-29,APPLE.COM/BILL,25.9
2025-09-29,ValeMinimercados,16.99
2025-09-28,MP *BARROPRE-CT,32
2025-09-28,Ranchinho   -CT,24.5
2025-09-27,AUTO POSTO LORINHO CAC,240
2025-09-27,TAUSTE SUPERMERCADOS,52.87
2025-09-27,FAZENDA SAO -CT O,300
2025-09-27,DEPOSITO ESPERANCA,61
2025-09-27,ValeMinimercados,48.19
2025-09-27,MEZZO BAR E RESTAURANT,199.75
2025-09-26,APPLE.COM/BILL,66.9
2025-09-26,MINAS 360,65.33
2025-09-26,OSCAR       -CT,199.99
2025-09-26,IOF COMPRA INTERNACIONA,3.96
2025-09-25,OPENAI *CHATGPT SUBSCR,113.2
2025-09-25,MP *ROGOMESS-CT O,275
2025-09-25,PAYGO*BENDIT-CT JA PAE,107.5
2025-09-23,SHIBATA COME-CT  E A,36.67
2025-09-23,ITAUSHOP,0.1
2025-09-22,SHIBATA CACAPAVA,453.93
2025-09-21,EASYJET MOBILIDADE LTD,2
2025-09-21,EASYJET MOBILIDADE LTD,2.67
2025-09-21,EASYJET MOBILIDADE LTD,2
2025-09-21,APPLE.COM/BILL,60.8
2025-09-21,EASYJET MOBILIDADE LTD,31
2025-09-21,AUTO POSTO LORINHO CAC,177.17
2025-09-21,EASYJET MOBILIDADE LTD,2
2025-09-20,NEGA MALUCA -CT AS,164
2025-09-20,SHIBATA CACA-CT,359.81
2025-09-20,ConectC*RAFAELSELM,100
2025-09-20,ValeMinimercados,77.49
2025-09-19,EccereCentro-CT,2
2025-09-19,POLI PET    -CT,291.8
2025-09-19,AUSTO POSTO CUNHA,231.23
2025-09-19,LINA HILLMAN-CT ERIAIS,21.19
2025-09-19,GOPAG S*HOKEN SUSHI,783.95
2025-09-19,ORIENTE PREM-CT ALIME,63.99
2025-09-19,RADIAL LESTE,33.8
2025-09-18,GUARUBELA CA-CT  PESC,45
2025-09-18,BELLA BAR ILHABELA LTD,163.37
2025-09-18,GAMA SUPERME-CT OS,85.75
2025-09-18,POSTO MORRO,80
2025-09-18,DEPARTAMENTO HIDROVIAR,65.3
2025-09-18,APPLE.COM/BILL,51.9
2025-09-17,AmazonPrimeBR,19.9
2025-09-17,AMAZON BR,297.81
2025-09-17,ValeMinimercados,31.99
2025-09-16,DM          *Spotify,31.9
2025-09-16,AUTO POSTO L-CT HO CAC,133.34
2025-09-16,MERCADOLIVRE*LKFCOMER,185
2025-09-16,ConectC*RAFAELSELM,100
2025-09-15,Amazon Prime Canais,19.95
2025-09-15,NESTLE STORES LTDA,55.89
2025-09-15,APPLE.COM/BILL,25.9
2025-09-13,ValeMinimercados,20.19
2025-09-13,AUTO POSTO LORINHO CAC,179.78
2025-09-12,NETFLIX.COM,44.9
2025-09-11,MercadoE    -CT,33.1
2025-09-11,NEGA MALUCA -CT AS,38
2025-09-10,MCDONALD S,19
2025-09-10,AUTO POSTO LORINHO CAC,242.89
2025-09-09,APPLE.COM/BILL,599
2025-09-09,URBANIZADORA MUNICIPA,2480.62
2025-09-08,APPLE.COM/BILL,25.9
2025-08-29,AMAZONMKTPLC*JHULI02/12,112.84
2025-08-28,CENTRO CANINO CAO 02/02,443
2025-08-13,VIA  VENETO -CT   02/04,287.94
2025-08-04,T LINE SJC V-CT LT03/04,361.41
2025-07-31,RDSAUDE ONLINE    03/03,672.55
2025-07-22,ZEISS VISION CENTE03/10,397
2025-07-14,TudoDeFiltros     03/03,1416.68
2025-07-08,PORTO SEGURO CIA S03/10,326.4
2025-04-22,HOTEL F VALE MANTI06/06,756.74
2025-04-03,MERCADOLIVRE*3PROD07/10,156.94
2025-02-18,AMAZON MARKETPLACE08/10,157.17
2025-01-27,Serasa Experian   09/12,14.25
2024-12-09,AMAZON MARKETPLACE10/10,266.83
2024-12-04,LASER CACAPA-CT TD11/12,98.31
2024-10-16,FLASH GAMES       12/12,457.37